Date,Open,High,Low,Close,Volume,Adj Close
2011-06-09,63037.00,63773.00,62872.00,63469.00,1946800,63469.00
2011-06-08,63204.00,63354.00,62709.00,63033.00,1805800,63033.00
2011-06-07,63072.00,63784.00,63072.00,63218.00,2089600,63218.00
2011-06-06,64341.00,64512.00,62960.00,63068.00,1822400,63068.00
2011-06-03,64216.00,64979.00,63628.00,64341.00,2155800,64341.00
2011-06-02,63411.00,64218.00,63277.00,64218.00,2135600,64218.00
2011-06-01,64616.00,64674.00,63401.00,63411.00,2158200,63411.00
2011-05-31,63961.00,64620.00,63932.00,64620.00,2428400,64620.00
2011-05-30,64295.00,64460.00,63915.00,63954.00,629000,63954.00
2011-05-27,64101.00,64548.00,64092.00,64295.00,1672000,64295.00
2011-05-26,63389.00,64121.00,63232.00,64099.00,2397000,64099.00
2011-05-25,63329.00,63857.00,63025.00,63388.00,1918600,63388.00
2011-05-24,62350.00,63415.00,62350.00,63337.00,2006400,63337.00
2011-05-23,62597.00,62597.00,61659.00,62345.00,1767600,62345.00
2011-05-20,62370.00,63043.00,62086.00,62597.00,2087000,62597.00
2011-05-19,62844.00,63607.00,62225.00,62367.00,2291200,62367.00
2011-05-18,63675.00,64015.00,62830.00,62841.00,2488000,62841.00
2011-05-17,62830.00,63680.00,62414.00,63673.00,2210800,63673.00
2011-05-16,63233.00,63829.00,62676.00,62830.00,2459600,62830.00
2011-05-13,64003.00,64165.00,63063.00,63235.00,2667400,63235.00
2011-05-12,63772.00,64329.00,63125.00,64003.00,2486800,64003.00
2011-05-11,64877.00,64877.00,63622.00,63776.00,2458400,63776.00
2011-05-10,64622.00,65143.00,64619.00,64877.00,1982600,64877.00
2011-05-09,64416.00,64782.00,64150.00,64622.00,1880800,64622.00
2011-05-06,63422.00,64704.00,63422.00,64417.00,2690000,64417.00
2011-05-05,63609.00,64268.00,62973.00,63407.00,2806000,63407.00
2011-05-04,64320.00,64807.00,63548.00,63616.00,2490000,63616.00
2011-05-03,65458.00,65468.00,64244.29,64318.00,2235400,64318.00
2011-05-02,66119.00,66500.00,65346.00,65463.00,2306800,65463.00
2011-04-29,65664.00,66294.00,65461.00,66133.00,2645000,66133.00
2011-04-28,66249.00,66249.00,65105.00,65673.00,3090000,65673.00
2011-04-27,67143.00,67228.00,65885.00,66264.00,2151200,66264.00
2011-04-26,66972.00,67413.00,66722.00,67144.00,1726600,67144.00
