Date,Open,High,Low,Close,Volume,Adj Close
2011-06-09,7061.87,7183.78,7035.86,7159.66,33056200,7159.66
2011-06-08,7076.31,7089.15,6991.62,7060.23,32893900,7060.23
2011-06-07,7094.14,7147.63,7086.90,7103.25,27143900,7103.25
2011-06-06,7095.40,7124.31,7062.73,7084.57,25762500,7084.57
2011-06-03,7101.48,7120.12,7021.36,7109.03,32161500,7109.03
2011-06-02,7155.86,7157.59,7074.12,7074.12,24048200,7074.12
2011-06-01,7310.56,7314.66,7193.89,7217.43,33434200,7217.43
2011-05-31,7240.12,7319.69,7238.77,7293.69,44550500,7293.69
2011-05-30,7165.00,7204.16,7146.98,7160.30,000,7160.30
2011-05-27,7205.13,7208.48,7115.48,7163.47,30986900,7163.47
2011-05-26,7202.72,7217.24,7087.32,7114.09,46009500,7114.09
2011-05-25,7079.25,7183.80,7071.42,7170.94,47196600,7170.94
2011-05-24,7129.94,7202.21,7128.04,7150.66,33377800,7150.66
2011-05-23,7158.08,7166.15,7105.20,7121.52,37996000,7121.52
2011-05-20,7372.18,7410.31,7228.13,7266.82,81539300,7266.82
2011-05-19,7360.47,7415.65,7316.74,7358.23,33279100,7358.23
2011-05-18,7325.85,7340.54,7261.29,7303.53,27277100,7303.53
2011-05-17,7346.81,7368.98,7253.89,7256.65,33967300,7256.65
2011-05-16,7348.12,7402.52,7284.96,7387.54,36801300,7387.54
2011-05-13,7486.20,7511.09,7391.14,7403.31,34958000,7403.31
2011-05-12,7438.02,7443.95,7356.76,7443.95,51671100,7443.95
2011-05-11,7526.56,7566.41,7469.63,7495.05,40487200,7495.05
2011-05-10,7446.44,7533.86,7423.33,7501.52,33452900,7501.52
2011-05-09,7461.35,7489.09,7379.97,7410.52,41079200,7410.52
2011-05-06,7391.04,7501.63,7362.55,7492.25,62720800,7492.25
2011-05-05,7416.38,7423.96,7291.39,7376.96,66841700,7376.96
2011-05-04,7475.18,7534.26,7355.40,7373.93,66109600,7373.93
2011-05-03,7518.60,7523.68,7446.83,7500.70,53527000,7500.70
2011-05-02,7570.86,7600.41,7527.64,7527.64,27700000,7527.64
2011-04-29,7475.00,7514.69,7461.53,7514.46,35600000,7514.46
2011-04-28,7450.57,7480.33,7426.62,7475.22,53112200,7475.22
2011-04-27,7374.11,7428.72,7361.24,7404.95,33012900,7404.95
2011-04-26,7288.77,7359.97,7278.52,7356.51,24123700,7356.51
2011-04-25,7295.49,7295.49,7295.49,7295.49,000,7295.49
