Date,Open,High,Low,Close,Volume,Adj Close
2011-06-09,22628.13,22647.30,22372.94,22609.83,2442731600,22609.83
2011-06-08,22757.62,22757.62,22607.09,22661.63,2026144000,22661.63
2011-06-07,22762.21,22928.96,22730.12,22868.67,1487292800,22868.67
2011-06-03,23338.76,23338.76,22932.48,22949.56,1959514000,22949.56
2011-06-02,23280.05,23317.79,23210.95,23253.84,1305464400,23253.84
2011-06-01,23686.77,23706.00,23598.39,23626.43,1590464800,23626.43
2011-05-31,23380.29,23707.95,23371.48,23684.13,2140362000,23684.13
2011-05-30,23117.80,23257.85,23086.05,23184.32,792873800,23184.32
2011-05-27,22939.95,23150.60,22859.98,23118.07,1504550900,23118.07
2011-05-26,22848.06,22943.85,22796.13,22900.79,960477800,22900.79
2011-05-25,22558.33,22767.01,22519.66,22747.28,1231365300,22747.28
2011-05-24,22693.10,22754.45,22631.13,22730.78,1007851200,22730.78
2011-05-23,22942.96,22942.96,22691.33,22711.02,1487178000,22711.02
2011-05-20,23215.62,23242.63,23147.42,23199.39,798082000,23199.39
2011-05-19,23125.28,23248.13,23031.60,23163.38,1146410600,23163.38
2011-05-18,22968.62,23057.72,22924.46,23011.14,1067411900,23011.14
2011-05-17,22896.20,22967.88,22768.03,22901.08,926370800,22901.08
2011-05-16,23054.06,23134.64,22937.14,22960.63,1076063000,22960.63
2011-05-13,23120.00,23295.03,22888.08,23276.27,1231654600,23276.27
2011-05-12,23112.13,23127.98,22985.54,23073.76,1213530500,23073.76
2011-05-11,23509.01,23509.01,23233.42,23291.80,1308742400,23291.80
2011-05-09,23239.15,23392.70,23239.15,23336.00,1008557600,23336.00
2011-05-06,23035.94,23207.44,22985.66,23159.14,1282797200,23159.14
2011-05-05,23228.01,23348.33,23167.93,23261.61,1561056500,23261.61
2011-05-04,23582.60,23582.60,23230.38,23315.24,1880768800,23315.24
2011-05-03,23794.86,23924.48,23599.28,23633.25,1309019000,23633.25
2011-05-02,23720.81,23720.81,23720.81,23720.81,000,23720.81
2011-04-29,23774.47,23808.93,23633.74,23720.81,1468492700,23720.81
2011-04-28,24103.03,24132.05,23761.13,23805.63,1570580800,23805.63
2011-04-27,24193.28,24260.77,23825.13,23892.84,1245102700,23892.84
2011-04-26,23964.62,24070.03,23844.30,24007.38,1136259200,24007.38
2011-04-25,24138.31,24138.31,24138.31,24138.31,000,24138.31
2011-04-21,24090.55,24185.49,24031.42,24138.31,1515002500,24138.31
2011-04-20,23709.29,23904.77,23682.79,23896.10,1236452200,23896.10
2011-04-19,23654.86,23654.86,23468.20,23520.62,1461878700,23520.62
2011-04-18,23977.87,24145.43,23769.48,23830.31,1280807700,23830.31
2011-04-15,24086.55,24236.54,23902.03,24008.07,1280550500,24008.07
