Date,Open,High,Low,Close,Volume,Adj Close
2011-06-09,9411.71,9472.41,9383.12,9467.15,143000,9467.15
2011-06-08,9428.62,9458.43,9394.74,9449.46,117200,9449.46
2011-06-07,9371.21,9454.66,9358.31,9442.95,128400,9442.95
2011-06-06,9467.37,9490.55,9359.78,9380.35,140400,9380.35
2011-06-03,9550.59,9603.03,9490.68,9492.21,115600,9492.21
2011-06-02,9560.63,9575.01,9517.28,9555.04,144000,9555.04
2011-06-01,9708.05,9720.73,9659.31,9719.61,136000,9719.61
2011-05-31,9500.60,9697.35,9497.40,9693.73,156600,9693.73
2011-05-30,9489.78,9540.02,9448.00,9504.97,93600,9504.97
2011-05-27,9514.16,9588.70,9493.44,9521.94,109000,9521.94
2011-05-26,9499.45,9567.46,9489.12,9562.05,117400,9562.05
2011-05-25,9492.43,9503.77,9415.33,9422.88,116600,9422.88
2011-05-24,9406.04,9490.35,9406.04,9477.17,115800,9477.17
2011-05-23,9547.86,9547.86,9437.87,9460.63,131600,9460.63
2011-05-20,9612.87,9670.92,9600.48,9607.08,120800,9607.08
2011-05-19,9711.32,9731.12,9600.81,9620.82,117200,9620.82
2011-05-18,9602.88,9693.60,9590.40,9662.08,132800,9662.08
2011-05-17,9513.50,9593.13,9502.39,9567.02,136000,9567.02
2011-05-16,9571.13,9598.33,9552.86,9558.30,126200,9558.30
2011-05-13,9751.45,9751.45,9552.93,9648.77,212600,9648.77
2011-05-12,9770.71,9836.71,9716.65,9716.65,145000,9716.65
2011-05-11,9912.48,9929.04,9842.67,9864.26,141600,9864.26
2011-05-10,9804.27,9853.13,9755.93,9818.76,132000,9818.76
2011-05-09,9881.67,9897.88,9776.74,9794.38,110800,9794.38
2011-05-06,9851.15,9876.10,9782.66,9859.20,132400,9859.20
2011-05-02,9964.39,10017.47,9936.27,10004.20,127800,10004.20
2011-04-28,9749.36,9849.74,9712.58,9849.74,158000,9849.74
2011-04-27,9631.53,9728.03,9630.37,9691.84,115800,9691.84
2011-04-26,9627.43,9627.43,9536.51,9558.69,100200,9558.69
2011-04-25,9705.90,9748.40,9657.24,9671.96,100600,9671.96
2011-04-22,9623.00,9732.63,9611.38,9682.21,126200,9682.21
2011-04-21,9686.27,9725.12,9643.92,9685.77,118000,9685.77
2011-04-20,9536.79,9631.00,9519.36,9606.82,126000,9606.82
2011-04-19,9448.65,9478.87,9405.19,9441.03,131600,9441.03
2011-04-18,9593.41,9608.92,9539.03,9556.65,110000,9556.65
2011-04-15,9646.22,9651.96,9577.96,9591.52,147800,9591.52
2011-04-14,9579.79,9676.97,9553.75,9653.92,153000,9653.92
2011-04-13,9516.50,9655.83,9516.50,9641.18,157400,9641.18
2011-04-12,9603.50,9603.64,9513.27,9555.26,169000,9555.26
